,sepallength,sepalwidth,petallength,petalwidth,class,Suma,Iloczyn
0,5.1,3.5,1.4,0.2,Iris-setosa,10.2,4.997999999999999
1,4.9,3.0,1.4,0.2,Iris-setosa,9.5,4.1160000000000005
2,4.7,3.2,1.3,0.2,Iris-setosa,9.4,3.910400000000001
3,4.6,3.1,1.5,0.2,Iris-setosa,9.399999999999999,4.2780000000000005
4,5.0,3.6,1.4,0.2,Iris-setosa,10.2,5.04
5,5.4,3.9,1.7,0.4,Iris-setosa,11.4,14.3208
6,4.6,3.4,1.4,0.3,Iris-setosa,9.700000000000001,6.568799999999999
7,5.0,3.4,1.5,0.2,Iris-setosa,10.1,5.1000000000000005
8,4.4,2.9,1.4,0.2,Iris-setosa,8.9,3.5727999999999995
9,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
10,5.4,3.7,1.5,0.2,Iris-setosa,10.8,5.9940000000000015
11,4.8,3.4,1.6,0.2,Iris-setosa,9.999999999999998,5.2224
12,4.8,3.0,1.4,0.1,Iris-setosa,9.299999999999999,2.0159999999999996
13,4.3,3.0,1.1,0.1,Iris-setosa,8.5,1.419
14,5.8,4.0,1.2,0.2,Iris-setosa,11.2,5.5680000000000005
15,5.7,4.4,1.5,0.4,Iris-setosa,12.000000000000002,15.048000000000002
16,5.4,3.9,1.3,0.4,Iris-setosa,11.000000000000002,10.951200000000002
17,5.1,3.5,1.4,0.3,Iris-setosa,10.3,7.496999999999998
18,5.7,3.8,1.7,0.3,Iris-setosa,11.5,11.0466
19,5.1,3.8,1.5,0.3,Iris-setosa,10.7,8.721
20,5.4,3.4,1.7,0.2,Iris-setosa,10.7,6.2424
21,5.1,3.7,1.5,0.4,Iris-setosa,10.700000000000001,11.322000000000001
22,4.6,3.6,1.0,0.2,Iris-setosa,9.399999999999999,3.312
23,5.1,3.3,1.7,0.5,Iris-setosa,10.599999999999998,14.305499999999999
24,4.8,3.4,1.9,0.2,Iris-setosa,10.299999999999999,6.2016
25,5.0,3.0,1.6,0.2,Iris-setosa,9.799999999999999,4.800000000000001
26,5.0,3.4,1.6,0.4,Iris-setosa,10.4,10.880000000000003
27,5.2,3.5,1.5,0.2,Iris-setosa,10.399999999999999,5.46
28,5.2,3.4,1.4,0.2,Iris-setosa,10.2,4.9504
29,4.7,3.2,1.6,0.2,Iris-setosa,9.7,4.812800000000001
30,4.8,3.1,1.6,0.2,Iris-setosa,9.7,4.7616000000000005
31,5.4,3.4,1.5,0.4,Iris-setosa,10.700000000000001,11.016
32,5.2,4.1,1.5,0.1,Iris-setosa,10.9,3.1980000000000004
33,5.5,4.2,1.4,0.2,Iris-setosa,11.299999999999999,6.468000000000001
34,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
35,5.0,3.2,1.2,0.2,Iris-setosa,9.599999999999998,3.84
36,5.5,3.5,1.3,0.2,Iris-setosa,10.5,5.005000000000001
37,4.9,3.1,1.5,0.1,Iris-setosa,9.6,2.2785000000000006
38,4.4,3.0,1.3,0.2,Iris-setosa,8.9,3.432000000000001
39,5.1,3.4,1.5,0.2,Iris-setosa,10.2,5.202
40,5.0,3.5,1.3,0.3,Iris-setosa,10.100000000000001,6.825
41,4.5,2.3,1.3,0.3,Iris-setosa,8.4,4.0365
42,4.4,3.2,1.3,0.2,Iris-setosa,9.1,3.6608000000000005
43,5.0,3.5,1.6,0.6,Iris-setosa,10.7,16.8
44,5.1,3.8,1.9,0.4,Iris-setosa,11.2,14.7288
45,4.8,3.0,1.4,0.3,Iris-setosa,9.5,6.047999999999999
46,5.1,3.8,1.6,0.2,Iris-setosa,10.699999999999998,6.2016
47,4.6,3.2,1.4,0.2,Iris-setosa,9.399999999999999,4.1216
48,5.3,3.7,1.5,0.2,Iris-setosa,10.7,5.883
49,5.0,3.3,1.4,0.2,Iris-setosa,9.9,4.62
50,7.0,3.2,4.7,1.4,Iris-versicolor,16.299999999999997,147.39200000000002
51,6.4,3.2,4.5,1.5,Iris-versicolor,15.600000000000001,138.24000000000004
52,6.9,3.1,4.9,1.5,Iris-versicolor,16.4,157.2165
53,5.5,2.3,4.0,1.3,Iris-versicolor,13.100000000000001,65.78
54,6.5,2.8,4.6,1.5,Iris-versicolor,15.4,125.57999999999998
55,5.7,2.8,4.5,1.3,Iris-versicolor,14.3,93.366
56,6.3,3.3,4.7,1.6,Iris-versicolor,15.9,156.3408
57,4.9,2.4,3.3,1.0,Iris-versicolor,11.600000000000001,38.808
58,6.6,2.9,4.6,1.3,Iris-versicolor,15.4,114.45719999999999
59,5.2,2.7,3.9,1.4,Iris-versicolor,13.200000000000001,76.6584
60,5.0,2.0,3.5,1.0,Iris-versicolor,11.5,35.0
61,5.9,3.0,4.2,1.5,Iris-versicolor,14.600000000000001,111.51000000000002
62,6.0,2.2,4.0,1.0,Iris-versicolor,13.2,52.800000000000004
63,6.1,2.9,4.7,1.4,Iris-versicolor,15.1,116.40019999999997
64,5.6,2.9,3.6,1.3,Iris-versicolor,13.4,76.0032
65,6.7,3.1,4.4,1.4,Iris-versicolor,15.600000000000001,127.9432
66,5.6,3.0,4.5,1.5,Iris-versicolor,14.6,113.39999999999999
67,5.8,2.7,4.1,1.0,Iris-versicolor,13.6,64.20599999999999
68,6.2,2.2,4.5,1.5,Iris-versicolor,14.4,92.07000000000002
69,5.6,2.5,3.9,1.1,Iris-versicolor,13.1,60.06000000000001
70,5.9,3.2,4.8,1.8,Iris-versicolor,15.700000000000003,163.12320000000003
71,6.1,2.8,4.0,1.3,Iris-versicolor,14.2,88.81599999999999
72,6.3,2.5,4.9,1.5,Iris-versicolor,15.200000000000001,115.76250000000002
73,6.1,2.8,4.7,1.2,Iris-versicolor,14.799999999999997,96.3312
74,6.4,2.9,4.3,1.3,Iris-versicolor,14.900000000000002,103.7504
75,6.6,3.0,4.4,1.4,Iris-versicolor,15.4,121.96799999999998
76,6.8,2.8,4.8,1.4,Iris-versicolor,15.799999999999999,127.94879999999999
77,6.7,3.0,5.0,1.7,Iris-versicolor,16.4,170.85
78,6.0,2.9,4.5,1.5,Iris-versicolor,14.9,117.44999999999999
79,5.7,2.6,3.5,1.0,Iris-versicolor,12.8,51.870000000000005
80,5.5,2.4,3.8,1.1,Iris-versicolor,12.799999999999999,55.176
81,5.5,2.4,3.7,1.0,Iris-versicolor,12.600000000000001,48.839999999999996
82,5.8,2.7,3.9,1.2,Iris-versicolor,13.6,73.2888
83,6.0,2.7,5.1,1.6,Iris-versicolor,15.399999999999999,132.192
84,5.4,3.0,4.5,1.5,Iris-versicolor,14.4,109.35000000000001
85,6.0,3.4,4.5,1.6,Iris-versicolor,15.5,146.88
86,6.7,3.1,4.7,1.5,Iris-versicolor,16.0,146.42849999999999
87,6.3,2.3,4.4,1.3,Iris-versicolor,14.3,82.8828
88,5.6,3.0,4.1,1.3,Iris-versicolor,14.0,89.54399999999998
89,5.5,2.5,4.0,1.3,Iris-versicolor,13.3,71.5
90,5.5,2.6,4.4,1.2,Iris-versicolor,13.7,75.504
91,6.1,3.0,4.6,1.4,Iris-versicolor,15.1,117.85199999999996
92,5.8,2.6,4.0,1.2,Iris-versicolor,13.6,72.384
93,5.0,2.3,3.3,1.0,Iris-versicolor,11.6,37.949999999999996
94,5.6,2.7,4.2,1.3,Iris-versicolor,13.8,82.5552
95,5.7,3.0,4.2,1.2,Iris-versicolor,14.099999999999998,86.18400000000001
96,5.7,2.9,4.2,1.3,Iris-versicolor,14.100000000000001,90.25380000000001
97,6.2,2.9,4.3,1.3,Iris-versicolor,14.7,100.50819999999999
98,5.1,2.5,3.0,1.1,Iris-versicolor,11.7,42.075
99,5.7,2.8,4.1,1.3,Iris-versicolor,13.9,85.0668
100,6.3,3.3,6.0,2.5,Iris-virginica,18.1,311.84999999999997
101,5.8,2.7,5.1,1.9,Iris-virginica,15.5,151.7454
102,7.1,3.0,5.9,2.1,Iris-virginica,18.1,263.907
103,6.3,2.9,5.6,1.8,Iris-virginica,16.599999999999998,184.1616
104,6.5,3.0,5.8,2.2,Iris-virginica,17.5,248.82000000000002
105,7.6,3.0,6.6,2.1,Iris-virginica,19.3,316.0079999999999
106,4.9,2.5,4.5,1.7,Iris-virginica,13.6,93.71249999999999
107,7.3,2.9,6.3,1.8,Iris-virginica,18.3,240.06779999999998
108,6.7,2.5,5.8,1.8,Iris-virginica,16.8,174.86999999999998
109,7.2,3.6,6.1,2.5,Iris-virginica,19.4,395.28
110,6.5,3.2,5.1,2.0,Iris-virginica,16.799999999999997,212.16
111,6.4,2.7,5.3,1.9,Iris-virginica,16.3,174.0096
112,6.8,3.0,5.5,2.1,Iris-virginica,17.400000000000002,235.61999999999998
113,5.7,2.5,5.0,2.0,Iris-virginica,15.2,142.5
114,5.8,2.8,5.1,2.4,Iris-virginica,16.099999999999998,198.77759999999995
115,6.4,3.2,5.3,2.3,Iris-virginica,17.200000000000003,249.65120000000002
116,6.5,3.0,5.5,1.8,Iris-virginica,16.8,193.05
117,7.7,3.8,6.7,2.2,Iris-virginica,20.4,431.29240000000004
118,7.7,2.6,6.9,2.3,Iris-virginica,19.500000000000004,317.7174
119,6.0,2.2,5.0,1.5,Iris-virginica,14.7,99.0
120,6.9,3.2,5.7,2.3,Iris-virginica,18.1,289.4688
121,5.6,2.8,4.9,2.0,Iris-virginica,15.299999999999999,153.664
122,7.7,2.8,6.7,2.0,Iris-virginica,19.2,288.904
123,6.3,2.7,4.9,1.8,Iris-virginica,15.700000000000001,150.02820000000003
124,6.7,3.3,5.7,2.1,Iris-virginica,17.8,264.6567
125,7.2,3.2,6.0,1.8,Iris-virginica,18.2,248.83200000000002
126,6.2,2.8,4.8,1.8,Iris-virginica,15.600000000000001,149.9904
127,6.1,3.0,4.9,1.8,Iris-virginica,15.8,161.40599999999998
128,6.4,2.8,5.6,2.1,Iris-virginica,16.9,210.73919999999998
129,7.2,3.0,5.8,1.6,Iris-virginica,17.6,200.448
130,7.4,2.8,6.1,1.9,Iris-virginica,18.199999999999996,240.14479999999995
131,7.9,3.8,6.4,2.0,Iris-virginica,20.1,384.25600000000003
132,6.4,2.8,5.6,2.2,Iris-virginica,17.0,220.77439999999999
133,6.3,2.8,5.1,1.5,Iris-virginica,15.7,134.94599999999997
134,6.1,2.6,5.6,1.4,Iris-virginica,15.7,124.34239999999997
135,7.7,3.0,6.1,2.3,Iris-virginica,19.099999999999998,324.09299999999996
136,6.3,3.4,5.6,2.4,Iris-virginica,17.7,287.8847999999999
137,6.4,3.1,5.5,1.8,Iris-virginica,16.8,196.41600000000003
138,6.0,3.0,4.8,1.8,Iris-virginica,15.600000000000001,155.51999999999998
139,6.9,3.1,5.4,2.1,Iris-virginica,17.5,242.56260000000003
140,6.7,3.1,5.6,2.4,Iris-virginica,17.8,279.14879999999994
141,6.9,3.1,5.1,2.3,Iris-virginica,17.4,250.9047
142,5.8,2.7,5.1,1.9,Iris-virginica,15.5,151.7454
143,6.8,3.2,5.9,2.3,Iris-virginica,18.2,295.2832
144,6.7,3.3,5.7,2.5,Iris-virginica,18.2,315.0675
145,6.7,3.0,5.2,2.3,Iris-virginica,17.2,240.39600000000002
146,6.3,2.5,5.0,1.9,Iris-virginica,15.700000000000001,149.625
147,6.5,3.0,5.2,2.0,Iris-virginica,16.7,202.8
148,6.2,3.4,5.4,2.3,Iris-virginica,17.3,261.81359999999995
149,5.9,3.0,5.1,1.8,Iris-virginica,15.8,162.48600000000002
